,日期索引,入流过程
2020/1/1,1,4992.059319
2020/1/2,1,5020.366542
2020/1/3,1,5048.673765
2020/1/4,1,3975.006035
2020/1/5,1,4481.721095
2020/1/6,1,5535.14388
2020/1/7,1,4407.965486
2020/1/8,1,5214.858801
2020/1/9,1,3931.6635
2020/1/10,1,4580.87735
2020/1/11,2,4830.159475
2020/1/12,2,4450.17415
2020/1/13,2,4989.381151
2020/1/14,2,4749.282402
2020/1/15,2,4136.3096
2020/1/16,2,5093.346192
2020/1/17,2,4384.319919
2020/1/18,2,5078.804305
2020/1/19,2,5407.962265
2020/1/20,2,6367.498128
2020/1/21,3,5635.480483
2020/1/22,3,5052.782495
2020/1/23,3,4532.287496
2020/1/24,3,4676.444285
2020/1/25,3,4412.473315
2020/1/26,3,4637.738692
2020/1/27,3,4723.127492
2020/1/28,3,4961.579221
2020/1/29,3,4267.777944
2020/1/30,3,4815.38886
2020/1/31,3,4144.069055
2020/2/1,4,4866.345109
2020/2/2,4,5032.661215
2020/2/3,4,4777.178156
2020/2/4,4,4256.966043
2020/2/5,4,5102.200335
2020/2/6,4,4008.474701
2020/2/7,4,4289.37757
2020/2/8,4,5258.937076
2020/2/9,4,4604.806771
2020/2/10,4,4541.37388
2020/2/11,5,4735.419623
2020/2/12,5,4114.628585
2020/2/13,5,5057.032011
2020/2/14,5,4415.638284
2020/2/15,5,4479.189189
2020/2/16,5,5372.503258
2020/2/17,5,4385.703872
2020/2/18,5,4728.180867
2020/2/19,5,4479.300447
2020/2/20,5,4517.417667
2020/2/21,6,4076.196967
2020/2/22,6,4989.910903
2020/2/23,6,4030.333828
2020/2/24,6,4661.250021
2020/2/25,6,4465.245175
2020/2/26,6,5463.837898
2020/2/27,6,5716.48583
2020/2/28,6,4705.823443
2020/2/29,6,4850.899511
2020/3/1,7,5704.143468
2020/3/2,7,5427.164422
2020/3/3,7,5303.075215
2020/3/4,7,4804.031569
2020/3/5,7,4444.871121
2020/3/6,7,5104.795631
2020/3/7,7,4967.638512
2020/3/8,7,5211.666702
2020/3/9,7,6170.264683
2020/3/10,7,5795.207668
2020/3/11,8,5088.455439
2020/3/12,8,4051.989255
2020/3/13,8,4094.527991
2020/3/14,8,5087.027159
2020/3/15,8,5366.407283
2020/3/16,8,5510.915305
2020/3/17,8,4176.095824
2020/3/18,8,5200.525183
2020/3/19,8,5400.914132
2020/3/20,8,6297.140206
2020/3/21,9,4798.145395
2020/3/22,9,5450.96877
2020/3/23,9,4582.649289
2020/3/24,9,5406.181358
2020/3/25,9,5673.994145
2020/3/26,9,4777.128379
2020/3/27,9,5327.881427
2020/3/28,9,5448.967981
2020/3/29,9,4803.809939
2020/3/30,9,4813.591315
2020/3/31,9,5088.042032
2020/4/1,10,5316.955928
2020/4/2,10,5225.688512
2020/4/3,10,5124.776483
2020/4/4,10,5592.858491
2020/4/5,10,6389.785051
2020/4/6,10,6120.352937
2020/4/7,10,7439.403244
2020/4/8,10,7203.305145
2020/4/9,10,6538.585058
2020/4/10,10,5423.782913
2020/4/11,11,4819.986463
2020/4/12,11,5437.757449
2020/4/13,11,4764.138716
2020/4/14,11,5433.036467
2020/4/15,11,6473.112674
2020/4/16,11,6809.57104
2020/4/17,11,6456.881609
2020/4/18,11,6623.143247
2020/4/19,11,7345.37856
2020/4/20,11,6815.121227
2020/4/21,12,7142.888032
2020/4/22,12,6785.1726
2020/4/23,12,7494.619818
2020/4/24,12,8073.091496
2020/4/25,12,9350.074541
2020/4/26,12,9430.605859
2020/4/27,12,9940.394218
2020/4/28,12,10271.00541
2020/4/29,12,8779.27182
2020/4/30,12,7816.045804
2020/5/1,13,6776.428387
2020/5/2,13,6691.470838
